Document Title,Authors,Author Affiliations,Publication Title,Publication Year,Start Page,End Page,PDF Link,Author Keywords,Reference Count,Publisher,Document Identifier
Compile-Time Detection of Machine Image Sniping,M. Kellogg,Paul G. Allen University of Washington,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1256,1258,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952221,"pluggable types, AMI sniping, AWS, EC2, Java, lightweight verification, DescribeImagesRequest",8,IEEE,IEEE Conferences
Boosting Neural Commit Message Generation with Code Semantic Analysis,S. Jiang,"Fudan University, China",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1280,1282,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952539,Neural machine translation (NMT);Commit message generation;Deep learning,38,IEEE,IEEE Conferences
FPChecker: Detecting Floating-Point Exceptions in GPU Applications,I. Laguna,Lawrence Livermore National Laboratory,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1126,1129,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952258,Floating-point arithmetic;exceptions;GPU;scientific computing,6,IEEE,IEEE Conferences
A Journey Towards Providing Intelligence and Actionable Insights to Development Teams in Software Delivery,V. S. Sharma; R. Mehra; S. Podder; A. P. Burden,"Accenture Labs, India; Accenture Labs, India; Accenture Labs, India; Accenture, Singapore",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1214,1215,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952441,"Software Delivery, Software Analytics, Project Management, Actionable Insights",10,IEEE,IEEE Conferences
Pangolin: An SFL-Based Toolset for Feature Localization,B. Castro; A. Perez; R. Abreu,"IST, University of Lisbon; Palo Alto Research Center; IST, University of Lisbon and INESC-ID",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1130,1133,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952297,Spectrum-based Fault Localization;Program Understanding;Maintenance and Evolution,10,IEEE,IEEE Conferences
"SWAN_ASSIST: Semi-Automated Detection of Code-Specific, Security-Relevant Methods",G. Piskachev; L. Nguyen Quang Do; O. Johnson; E. Bodden,Fraunhofer IEM; Paderborn University; Fraunhofer IEM; Paderborn University and Fraunhofer IEM,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1094,1097,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952264,Program Analysis;Security;Machine-Learning,9,IEEE,IEEE Conferences
Kotless: A Serverless Framework for Kotlin,V. Tankov; Y. Golubev; T. Bryksin,JetBrains; JetBrains Research; JetBrains Research,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1110,1113,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952482,Kotlin;Serverless;Web;Framework;Kotless;Cloud,8,IEEE,IEEE Conferences
Towards Comprehensible Representation of Controllers using Machine Learning,G. Balasubramaniam,"Birla Institute of Technology and Science, Pilani, Goa, India",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1283,1285,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952374,"Cyber Physical Systems, Controller Synthesis, Model Checking, Machine Learning, Inductive Logic Programming, Domain Knowledge, Strategy Representation",17,IEEE,IEEE Conferences
FogWorkflowSim: An Automated Simulation Toolkit for Workflow Performance Evaluation in Fog Computing,X. Liu; L. Fan; J. Xu; X. Li; L. Gong; J. Grundy; Y. Yang,Deakin University; Anhui University; Anhui University; Anhui University; Anhui University; Monash University; Swinburne University of Technology,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1114,1117,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952516,Fog Computing;Workflow;Performance Evaluation;Task Scheduling;Simulation Toolkit,12,IEEE,IEEE Conferences
An Image-Inspired and CNN-Based Android Malware Detection Approach,X. Xiao,Case Western Reserve University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1259,1261,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952484,Android Malware Detection;Deep learning;CNN,18,IEEE,IEEE Conferences
CONVUL: An Effective Tool for Detecting Concurrency Vulnerabilities,R. Meng; B. Zhu; H. Yun; H. Li; Y. Cai; Z. Yang,"State Key Laboratory of Computer Science, Institute of Software Chinese Academy of Sciences; University of Chinese Academy of Sciences; State Key Laboratory of Computer Science, Institute of Software Chinese Academy of Sciences; University of Chinese Academy of Sciences; State Key Laboratory of Computer Science, Institute of Software Chinese Academy of Sciences; University of Chinese Academy of Sciences; State Key Laboratory of Computer Science, Institute of Software Chinese Academy of Sciences; University of Chinese Academy of Sciences; State Key Laboratory of Computer Science, Institute of Software Chinese Academy of Sciences; GuardStrike Inc.",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1154,1157,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952233,Concurrency;Vulnerabilities,15,IEEE,IEEE Conferences
Automatically Repairing Binary Programs Using Adapter Synthesis,V. Sharma,University of Minnesota,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1238,1241,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952199,automated program repair;symbolic execution;binary analysis;adapter synthesis,24,IEEE,IEEE Conferences
Visual Analytics for Concurrent Java Executions,C. Artho; M. Pande; Q. Tang,KTH Royal Institute of Technology; KTH Royal Institute of Technology; Imperial College London,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1102,1105,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952488,Execution trace visualization;Visual analytics,32,IEEE,IEEE Conferences
Tackling Build Failures in Continuous Integration,F. Hassan,University of Texas at San Antonio,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1242,1245,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952416,"build failures, build repair, continuous integration",21,IEEE,IEEE Conferences
API Design Implications of Boilerplate Client Code,D. Nam,Carnegie Mellon University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1253,1255,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952241,Boilerplate Code;API Usability;Repository Mining,20,IEEE,IEEE Conferences
Manticore: A User-Friendly Symbolic Execution Framework for Binaries and Smart Contracts,M. Mossberg; F. Manzano; E. Hennenfent; A. Groce; G. Grieco; J. Feist; T. Brunson; A. Dinaburg,Trail of Bits; Trail of Bits; Trail of Bits; Trail of Bits; Trail of Bits; Trail of Bits; Trail of Bits; Trail of Bits,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1186,1189,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952204,manticore;mcore;symbolic execution;ethereum;smart contract,19,IEEE,IEEE Conferences
Lancer: Your Code Tell Me What You Need,S. Zhou; B. Shen; H. Zhong,Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1202,1205,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952168,Code recommendation;Code reuse;Language model,18,IEEE,IEEE Conferences
MutAPK: Source-Codeless Mutant Generation for Android Apps,C. Escobar-Velásquez; M. Osorio-Riaño; M. Linares-Vásquez,Universidad de los Andes; Universidad de los Andes; Universidad de los Andes,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1090,1093,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952526,"Mutation Testing, Closed Source Apps, Android",15,IEEE,IEEE Conferences
Developer Reputation Estimator (DRE),S. Amreen; A. Karnauch; A. Mockus,The University of Tennessee; The University of Tennessee; The University of Tennessee,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1082,1085,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952390,Developer Reputation;Software Ecosystem;Identity Disambiguation,7,IEEE,IEEE Conferences
CocoQa: Question Answering for Coding Conventions Over Knowledge Graphs,T. Du; J. Cao; Q. Wu; W. Li; B. Shen; Y. Chen,Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1086,1089,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952314,Coding convention;question answering;knowledge graph,15,IEEE,IEEE Conferences
